"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2016","EQ","1,200.00","1,212.00","1,199.95","1,205.20","1,202.90","1,206.20","1,206.05","1,318.45","928.00",1016635,"1,226,114,997.15",28865
"29-Dec-2016","EQ","1,185.00","1,207.95","1,181.45","1,186.75","1,203.00","1,205.20","1,198.17","1,318.45","928.00",2025204,"2,426,542,149.85",29459
"28-Dec-2016","EQ","1,189.90","1,194.95","1,181.00","1,185.20","1,185.75","1,186.75","1,189.23","1,318.45","928.00",1626960,"1,934,832,346.10",25378
"27-Dec-2016","EQ","1,179.30","1,186.90","1,173.90","1,175.00","1,186.00","1,185.20","1,179.76","1,318.45","928.00",1224824,"1,444,997,293.80",24221
"26-Dec-2016","EQ","1,178.55","1,186.10","1,170.10","1,186.25","1,177.30","1,175.00","1,176.14","1,318.45","928.00",1045966,"1,230,203,112.25",29237
"23-Dec-2016","EQ","1,171.00","1,189.25","1,169.30","1,173.10","1,186.10","1,186.25","1,182.23","1,318.45","928.00",1188129,"1,404,637,970.00",22069
"22-Dec-2016","EQ","1,176.40","1,179.50","1,168.40","1,180.00","1,171.00","1,173.10","1,172.68","1,318.45","928.00",701429,"822,549,545.25",16113
"21-Dec-2016","EQ","1,184.00","1,185.00","1,175.00","1,181.90","1,177.10","1,180.00","1,180.02","1,318.45","928.00",664719,"784,382,918.55",16518
"20-Dec-2016","EQ","1,176.00","1,185.00","1,171.70","1,176.75","1,183.00","1,181.90","1,178.85","1,318.45","928.00",1047498,"1,234,846,928.70",14370
"19-Dec-2016","EQ","1,176.80","1,179.50","1,170.50","1,182.30","1,175.15","1,176.75","1,176.34","1,318.45","928.00",790109,"929,440,586.25",28802
"16-Dec-2016","EQ","1,176.60","1,185.00","1,171.55","1,176.60","1,185.00","1,182.30","1,178.42","1,318.45","928.00",813957,"959,185,075.25",19790
"15-Dec-2016","EQ","1,164.20","1,194.50","1,163.60","1,175.70","1,177.35","1,176.60","1,179.94","1,318.45","928.00",1235372,"1,457,665,899.50",36142
"14-Dec-2016","EQ","1,187.00","1,188.00","1,173.40","1,186.25","1,177.40","1,175.70","1,178.72","1,318.45","928.00",1078536,"1,271,292,719.80",34818
"13-Dec-2016","EQ","1,180.25","1,190.35","1,178.55","1,184.45","1,185.10","1,186.25","1,185.61","1,318.45","928.00",631717,"748,969,936.10",7823
"12-Dec-2016","EQ","1,192.00","1,192.15","1,181.10","1,198.30","1,186.00","1,184.45","1,185.31","1,318.45","928.00",856318,"1,015,005,107.15",13932
"09-Dec-2016","EQ","1,199.10","1,202.30","1,188.00","1,199.50","1,199.00","1,198.30","1,197.13","1,318.45","928.00",1096988,"1,313,237,103.15",38565
"08-Dec-2016","EQ","1,187.00","1,205.55","1,187.00","1,181.60","1,196.00","1,199.50","1,196.73","1,318.45","928.00",1077424,"1,289,382,082.95",21872
"07-Dec-2016","EQ","1,201.85","1,205.90","1,167.00","1,194.45","1,181.40","1,181.60","1,190.70","1,318.45","928.00",1407048,"1,675,366,938.30",20996
"06-Dec-2016","EQ","1,195.00","1,202.85","1,190.20","1,196.35","1,196.95","1,194.45","1,196.07","1,318.45","928.00",675741,"808,236,057.30",20289
"05-Dec-2016","EQ","1,187.60","1,198.95","1,176.50","1,189.10","1,195.00","1,196.35","1,188.46","1,318.45","928.00",1137984,"1,352,453,352.90",23709
"02-Dec-2016","EQ","1,189.00","1,201.95","1,176.70","1,197.25","1,190.85","1,189.10","1,186.34","1,318.45","928.00",1015668,"1,204,928,736.25",20190
"01-Dec-2016","EQ","1,202.30","1,207.90","1,193.00","1,199.60","1,195.00","1,197.25","1,201.55","1,318.45","928.00",1119246,"1,344,826,096.90",43860
"30-Nov-2016","EQ","1,185.00","1,202.00","1,181.10","1,178.75","1,198.50","1,199.60","1,192.81","1,318.45","928.00",1610710,"1,921,272,433.45",22323
"29-Nov-2016","EQ","1,184.70","1,192.95","1,176.50","1,184.45","1,179.40","1,178.75","1,185.09","1,318.45","928.00",983161,"1,165,132,217.50",22206
"28-Nov-2016","EQ","1,180.25","1,198.90","1,178.10","1,189.30","1,183.50","1,184.45","1,189.76","1,318.45","928.00",1032545,"1,228,481,872.85",21122
"25-Nov-2016","EQ","1,169.00","1,193.20","1,158.00","1,165.50","1,186.10","1,189.30","1,176.81","1,318.45","928.00",1492490,"1,756,380,562.35",36072
"24-Nov-2016","EQ","1,184.00","1,186.30","1,160.90","1,184.75","1,165.35","1,165.50","1,168.70","1,318.45","928.00",3821499,"4,466,192,463.85",34200
"23-Nov-2016","EQ","1,203.00","1,203.00","1,181.10","1,198.05","1,181.60","1,184.75","1,189.84","1,318.45","928.00",883173,"1,050,838,577.25",18697
